Ticker,Sector,Industry,MarketCap,PE,ForwardPE,PB,PS,PEG,EPS,RevenueGrowth,EarningsGrowth,ROE,ROA,GrossMargin,OperatingMargin,NetMargin,DebtEquity,CurrentRatio,DivYield,Beta,ShortFloat,InstOwnership
AIG,Financial Services,Insurance - Diversified,40139063296.0,13.699816,8.408063,0.9731688,1.5083636,,5.43,-0.072,-0.056,0.07399,0.0173,0.34113997,0.13768,0.11634,24.408,0.622,2.42,0.58,0.019299999,0.99347997
AMT,Real Estate,REIT - Specialty,82763636736.0,32.79963,25.590435,22.569895,7.775176,,5.39,0.075,-0.332,0.2628,0.04895,0.74183,0.44942,0.23763001,434.211,0.397,3.9,0.907,0.0156,0.96064
AWK,Utilities,Utilities - Regulated Water,26507384832.0,23.864674,20.638,2.445609,5.157079,,5.69,0.058,0.0,0.10496,0.0347,0.6072,0.32179,0.21615,146.987,0.462,2.44,0.759,0.0631,0.99507004
AMP,Financial Services,Asset Management,40780034048.0,12.092011,9.410394,6.1168633,2.1564186,,36.3,0.086,-0.011,0.60508,0.02266,0.56184,0.35347998,0.18841,57.597,2.29,1.46,1.271,0.0427,0.89939004
AME,Industrials,Specialty Industrial Machinery,47959425024.0,32.663025,24.013763,4.511701,6.480026,,6.41,0.134,0.036,0.14594,0.07882,0.36383,0.27523002,0.19999,24.194,1.062,0.65,1.013,0.0135,0.92068
AMGN,Healthcare,Drug Manufacturers - General,187487715328.0,24.44132,14.937386,21.64416,5.1015677,,14.23,0.086,1.121,1.0610299,0.07931,0.70783997,0.30549,0.20982,640.275,1.14,2.9,0.425,0.028099999,0.85297996
APH,Technology,Electronic Components,155790704640.0,37.832836,24.629269,11.590305,6.745734,,3.35,0.491,0.576,0.36851,0.13108,0.37217999,0.27469,0.1849,118.935,2.979,0.79,1.214,0.0146,0.97926
ADI,Technology,Semiconductors,151065001984.0,56.46533,23.937943,4.4710793,12.849164,,5.48,0.304,1.167,0.07862,0.0454,0.62842,0.33067,0.23024,25.753,1.756,1.32,1.021,0.019299999,0.93461996
AON,Financial Services,Insurance Brokers,69989367808.0,19.120962,15.127992,7.4687495,4.0736494,,17.03,0.037,1.383,0.4694,0.058870003,0.47197,0.31349,0.21506001,168.318,1.11,0.92,0.828,0.0107,0.88773
APA,Energy,Oil & Gas E&P,13815665664.0,9.802005,14.826637,2.2656703,1.5907503,,3.99,-0.28,-0.182,0.2532,0.08963,0.68014,0.30581,0.16510999,68.685,0.825,2.56,0.708,0.1116,0.99329
APO,Financial Services,Asset Management,65007329280.0,20.216606,10.329483,2.9552233,2.0447056,,5.54,0.877,-0.573,0.14698,0.01288,0.37342,0.18127,0.109840006,99.468,1.659,1.82,1.638,0.054899998,0.67990994
AAPL,Technology,Consumer Electronics,3644938780672.0,31.351456,26.605259,41.345448,8.367301,,7.91,0.157,0.183,1.5202099,0.24377,0.47325,0.35374,0.27037,102.63,0.974,0.42,1.116,0.0088,0.65264
AMAT,Technology,Semiconductor Equipment & Materials,283366326272.0,36.62154,25.795238,13.048054,10.043466,,9.75,-0.021,0.752,0.38863,0.14849,0.48724,0.29892,0.27784002,33.108,2.715,0.59,1.634,0.017,0.85538
APP,Communication Services,Advertising Agencies,149507915776.0,44.06275,21.837147,70.10935,27.278898,,10.04,0.659,0.847,2.12945,0.3953,0.87864,0.76917,0.60827,171.801,3.322,,2.505,0.0468,0.81144
APTV,Consumer Cyclical,Auto Parts,14514924544.0,90.799995,7.1993403,1.5735841,0.71158564,,0.75,0.05,-0.434,0.01948,0.059070002,0.19153999,0.10305,0.008090001,85.209,1.736,,1.534,0.0369,1.03184
ACGL,Financial Services,Insurance - Diversified,33470375936.0,7.956897,9.1274805,1.411941,1.6794809,,11.6,0.085,0.388,0.19540001,0.04437,0.37162,0.2953,0.22073,11.919,1.077,,0.365,0.018099999,0.94368
ADM,Consumer Defensive,Farm Products,31841126400.0,29.672646,13.895772,1.3971705,0.39668024,,2.23,-0.137,-0.197,0.04721,0.01706,0.0627,0.01822,0.01343,42.376,1.365,3.14,0.683,0.035099998,0.87991995
ARES,Financial Services,Asset Management,35034435584.0,61.552326,13.786287,8.346078,6.2544937,,1.72,0.195,-0.814,0.13520001,0.023359999,0.36539,0.13537,0.09415,163.448,0.472,5.1,1.565,0.057600003,0.8929
ANET,Technology,Computer Hardware,165243387904.0,47.54348,30.779915,13.328593,18.348755,,2.76,0.289,0.191,0.314,0.14392,0.64056,0.41519,0.38991,0.179,3.048,,1.46,0.0145000005,0.70787
AJG,Financial Services,Insurance Brokers,55230222336.0,37.42509,14.510747,2.3673453,4.245539,,5.74,0.367,-0.483,0.06906,0.022449998,0.42163,0.104370005,0.11484,58.354,1.056,1.3,0.672,0.0239,0.93549
AIZ,Financial Services,Insurance - Property & Casualty,10657761280.0,12.562573,9.561332,1.8046981,0.83170843,,16.94,0.079,0.151,0.15899,0.02149,0.11892,0.101210006,0.0681,38.845,0.405,1.58,0.547,0.025999999,0.97753996
T,Communication Services,Telecom Services,200702312448.0,9.3125,11.108888,1.8024958,1.5973378,,3.04,0.036,-0.056,0.18805,0.040749997,0.59554,0.18416001,0.17472,124.179,0.906,3.92,0.576,0.0148,0.67831004
ATO,Utilities,Utilities - Regulated Gas,29860075520.0,23.531942,20.429764,2.0905533,6.1322618,,7.67,0.142,0.094,0.09237,0.03648,0.57824004,0.38848,0.25667998,67.443,1.13,2.22,0.698,0.0295,1.00001
ADSK,Technology,Software - Application,52573880320.0,47.41683,17.61145,17.265892,7.295848,,5.23,0.194,0.063,0.39675,0.096999995,0.92326,0.27236,0.15597999,89.787,0.851,,1.467,0.0298,0.95741
ADP,Technology,Software - Application,84404404224.0,20.047071,17.442186,13.154942,3.978656,,10.41,0.062,0.115,0.73843,0.04709,0.48351002,0.26283002,0.19964,70.044,1.032,3.26,0.854,0.0292,0.8653
AZO,Consumer Cyclical,Auto Parts,54230224896.0,22.987886,18.791191,-18.64373,2.8116472,,142.81,,,,0.119619995,0.52146,0.16341999,0.12776,,0.86,,0.355,0.0202,0.94396
AVB,Real Estate,REIT - Residential,22849175552.0,21.777328,32.300743,1.9444746,7.5132375,,7.41,0.037,-0.409,0.088879995,0.02702,0.63141996,0.30638,0.34569,80.256,0.406,4.41,0.745,0.0465,1.00525
AVY,Consumer Cyclical,Packaging & Containers,12395949056.0,18.355354,14.141495,5.5258017,1.3998023,,8.78,0.039,-0.006,0.30212998,0.082159996,0.28754,0.12707,0.07769,176.335,1.127,2.33,0.97,0.028099999,0.98561996
AXON,Industrials,Aerospace & Defense,39898951680.0,333.0671,46.95578,12.2760105,14.354537,,1.49,0.385,-0.98,0.04476,-0.0032300001,0.59823,-0.03063,0.044850003,59.107,2.526,,1.524,0.038,0.85962
BKR,Energy,Oil & Gas Equipment & Services,59640070144.0,23.211538,20.759306,3.1620035,2.150509,,2.6,0.003,-0.256,0.14552,0.05538,0.23676,0.1251,0.09332,35.255,1.357,1.52,0.879,0.0297,1.02305
BALL,Consumer Cyclical,Packaging & Containers,15291351040.0,17.290909,12.627582,2.793225,1.1618685,,3.3,0.162,,0.16122,0.04677,0.19588,0.101280004,0.069299996,136.027,1.114,1.4,1.115,0.0214,0.89285004
BAC,Financial Services,Banks - Diversified,344385683456.0,12.377953,9.51858,1.2268151,3.205914,,3.81,0.072,0.212,0.10217,0.00914,0.0,0.41627997,0.28401,,,2.37,1.263,0.0128,0.71182
BAX,Healthcare,Medical Instruments & Supplies,8309014016.0,,7.849828,1.3550931,0.73897314,,-1.75,0.08,,-0.13713,0.028280001,0.35735,0.07364,-0.085109994,160.275,2.314,2.23,0.553,0.1122,1.0998
BDX,Healthcare,Medical Instruments & Supplies,55840546816.0,25.18464,11.418932,1.7359133,2.5470054,,6.12,0.016,0.286,0.0696,0.04079,0.46784002,0.13347,0.08014,77.284,1.049,2.72,0.307,0.054899998,0.9608
BRK-B,Financial Services,Insurance - Diversified,1037325500416.0,15.50419,22.087355,0.000964459,2.7926836,,31.02,-0.007,-0.025,0.09809,0.051090002,0.26146,0.32956,0.18029,18.809,7.067,,0.688,0.0095,0.66246
BBY,Consumer Cyclical,Specialty Retail,13194358784.0,12.460318,8.901312,4.430335,0.31647977,,5.04,-0.01,3.725,0.37041,0.07516,0.22482,0.05017,0.02564,139.474,1.107,6.11,1.444,0.1449,1.0038201
TECH,Healthcare,Biotechnology,8054215680.0,97.13208,23.740242,3.9903884,6.625832,,0.53,-0.004,0.091,0.03966,0.06518,0.66605,0.1967,0.06672,17.449,4.539,0.62,1.475,0.0771,1.13899
BIIB,Healthcare,Drug Manufacturers - General,26630803456.0,20.667427,11.180359,1.4590923,2.6925368,,8.78,-0.071,,0.07394,0.0614,0.78946,0.19641,0.13071999,36.466,2.679,,0.145,0.037,0.98052
BLK,Financial Services,Asset Management,148994785280.0,27.09788,15.490852,2.657856,6.1527414,,35.35,0.234,-0.317,0.107159995,0.03467,0.46705002,0.36744,0.22930999,24.367,2.039,2.39,1.487,0.0095,0.82622004
BX,Financial Services,Asset Management,134974398464.0,28.534885,13.981454,9.981019,9.496663,,3.87,0.506,0.425,0.29228002,0.13262999,1.0,0.52829,0.21243,66.531,1.01,4.29,1.794,0.0223,0.70302004
XYZ,Technology,Software - Infrastructure,36077072384.0,28.27143,12.563563,1.6098592,1.4911773,,2.1,0.036,-0.939,0.060100004,0.028789999,0.43056,0.07969,0.053969998,40.444,2.201,,2.675,0.0403,0.83509004
BK,Financial Services,Banks - Diversified,80153313280.0,15.532433,12.285388,2.0038354,4.0068645,,7.4,0.078,0.305,0.12898,0.012569999,0.0,0.37316,0.27739,,,1.84,1.076,0.0139,0.87971
BA,Industrials,Aerospace & Defense,153333907456.0,78.677414,41.78257,28.103125,1.7139367,,2.48,0.571,,2.90084,-0.019989999,0.04828,-0.03178,0.02498,1032.894,1.188,,1.096,0.0148,0.73867995
BKNG,Consumer Cyclical,Travel Services,139380310016.0,26.109776,13.803946,-24.7242,5.178152,,165.61,0.16,0.384,,0.20815,0.87357,0.32446,0.20076999,,1.333,0.91,1.227,0.026199998,0.96949
BSX,Healthcare,Medical Devices,103100366848.0,35.814434,17.763416,4.251882,5.136015,,1.94,0.159,0.185,0.12445,0.059759997,0.68781,0.19694,0.14437,48.921,1.617,,0.7,0.0177,0.95045996
BMY,Healthcare,Drug Manufacturers - General,117056512000.0,16.612717,9.360923,6.3352804,2.4288607,,3.46,0.013,13.921,0.40442002,0.10293,0.72623,0.28163,0.14637,254.982,1.255,4.38,0.266,0.0164,0.83112
AVGO,Technology,Semiconductors,1472212893696.0,60.64649,17.573149,5.2432413,21.560776,,5.12,0.164,1.881,0.33370999,0.10663,0.76725996,0.31765,0.36571997,166.032,1.902,0.84,1.257,0.010199999,0.79521006
BR,Technology,Information Technology Services,20356304896.0,19.308971,16.846035,7.0671206,2.8350215,,9.03,0.078,1.017,0.41793,0.09175,0.31219998,0.120249994,0.14864,117.175,0.972,2.24,0.977,0.0322,0.94918996
BRO,Financial Services,Insurance Brokers,22892265472.0,21.218355,13.460316,1.7955655,3.972283,,3.16,0.362,-0.162,0.11226,0.04241,0.49071997,0.23165001,0.18289,62.976,1.039,0.94,0.798,0.0664,0.82602
BF-B,Consumer Defensive,Beverages - Wineries & Distilleries,10458441728.0,13.255814,13.406481,2.5620854,2.6747932,,1.72,0.02,0.013,0.20417,0.08596,0.59335,0.31913,0.20639,67.246,2.767,4.01,0.396,0.1735,0.76956004
BLDR,Industrials,Building Products & Equipment,8983344128.0,20.879177,10.576499,2.0636737,0.59137374,,3.89,-0.121,-0.829,0.10064,0.04504,0.30386,0.0184,0.02865,117.187,1.859,,1.564,0.0682,0.96968
BG,Consumer Defensive,Farm Products,22863099904.0,23.965519,11.721067,1.4368235,0.3250878,,4.93,0.755,-0.888,0.05964,0.02506,0.04847,0.01258,0.0116,91.006,1.612,2.37,0.743,0.0315,0.76853997
BXP,Real Estate,REIT - Office,9221127168.0,29.931036,24.978418,1.6042385,2.9244769,,1.74,-0.319,,0.04916,0.01672,0.56444,-0.06589,0.087790005,225.995,0.923,5.91,1.032,0.1046,1.17013
CHRW,Industrials,Integrated Freight & Logistics,20032686080.0,34.964806,23.595491,10.836756,1.2340897,,4.83,-0.065,-0.085,0.32911,0.10045,0.08550999,0.05071,0.036170002,75.604,1.528,1.49,0.903,0.0698,1.02969
CDNS,Technology,Software - Application,78321049600.0,69.92611,30.156282,14.095625,14.786599,,4.06,0.062,0.146,0.21855,0.10981,0.86364,0.32824,0.20934999,48.707,2.856,,1.025,0.0217,0.90162003
CPT,Real Estate,REIT - Residential,10358648832.0,27.502825,55.78283,2.3737657,6.5281477,,3.54,0.022,2.876,0.08598,0.0202,0.61731,0.19797,0.24229,88.402,0.029,4.35,0.821,0.0679,1.05858
CPB,Consumer Defensive,Packaged Foods,6281946624.0,11.451087,9.243701,1.5677084,0.6258789,,1.84,-0.045,-0.172,0.13891,0.05347,0.29610002,0.116610005,0.0548,185.001,1.015,7.4,-0.064,0.22760001,0.62442
COF,Financial Services,Credit Services,112855711744.0,54.005955,7.3792157,1.0482595,3.4429274,,3.36,0.516,0.222,0.02394,0.0036000002,0.0,0.22935,0.074829996,,,1.76,1.139,0.014199999,0.88563
CAH,Healthcare,Medical Distribution,48905728000.0,29.946686,17.950237,-17.007364,0.199882,,6.94,0.188,0.194,,0.03497,0.03695,0.01233,0.00679,,0.906,0.98,0.616,0.024500001,0.90505
CCL,Consumer Cyclical,Travel Services,33409568768.0,11.940595,8.682475,2.5760975,1.2549609,,2.02,0.066,0.358,0.25632998,0.05409,0.55548,0.09652001,0.10366999,227.882,0.322,0.62,2.459,0.0337,0.71359
CARR,Industrials,Building Products & Equipment,48537456640.0,34.360947,18.283833,3.5174751,2.2319152,,1.69,-0.06,-0.978,0.10925,0.03526,0.26054,0.01923,0.06824,87.719,1.199,1.65,1.289,0.0293,0.91062
CVNA,Consumer Cyclical,Auto & Truck Dealerships,61640450048.0,33.327015,26.378029,11.626503,3.033188,,8.44,0.58,9.467,0.67946,0.1086,0.20628001,0.07567,0.06924,133.119,4.311,,3.673,0.1058,1.0494599
CAT,Industrials,Farm & Heavy Construction Machinery,318637932544.0,36.236294,24.591948,14.860859,4.714346,,18.79,0.18,-0.114,0.43526,0.07891,0.28795,0.16025,0.13144,206.67,1.436,0.89,1.531,0.0179,0.72647005
CBOE,Financial Services,Financial Data & Stock Exchanges,29720393728.0,27.25048,22.261457,5.782978,6.3044405,,10.42,0.087,0.605,0.2336,0.11123,0.51527,0.36196,0.23334,30.958,1.872,0.98,0.336,0.0298,0.89362997
CBRE,Real Estate,Real Estate Services,39279300608.0,34.28312,15.176533,4.3283925,0.96866345,,3.85,0.118,-0.121,0.13572,0.02927,0.18658,0.0011999999,0.02853,106.244,1.095,,1.341,0.0161,0.99144995
CDW,Technology,Information Technology Services,15658391552.0,14.884901,10.635175,5.9716983,0.69828403,,8.08,0.063,0.088,0.43018,0.06806,0.21733,0.07309,0.04756,236.871,1.176,2.09,1.046,0.044499997,0.97918
COR,Healthcare,Medical Distribution,63594029056.0,39.19784,16.647554,33.324158,0.19520678,,8.34,0.055,0.148,1.33467,0.03325,0.03613,0.01181,0.0049900003,472.584,0.916,0.73,0.646,0.0277,0.96870005
CNC,Healthcare,Healthcare Plans,16916923392.0,,8.438322,0.8478127,0.09603649,,-13.53,0.232,,-0.28678,0.0101,0.104729995,-0.01878,-0.037890002,90.556,1.1,,0.459,0.0296,0.98287004
CNP,Utilities,Utilities - Regulated Electric,27487940608.0,26.2625,20.183971,2.4597554,2.9376874,,1.6,0.107,0.052,0.096429996,0.02892,0.45421,0.21476999,0.11243,206.599,0.911,2.19,0.539,0.0731,1.01722
CF,Basic Materials,Agricultural Inputs,19481233408.0,13.924191,16.467146,3.9641986,2.750033,,8.97,0.228,0.371,0.23401,0.10625,0.38452998,0.3531,0.20538999,46.765,3.365,1.6,0.689,0.0844,1.06628
CRL,Healthcare,Diagnostics & Research,7561390592.0,,12.539821,2.3888025,1.8831061,,-2.9,-0.008,,-0.04232,0.04243,0.34981,0.045089997,-0.03595,81.947,1.292,,1.652,0.082600005,1.1023
SCHW,Financial Services,Capital Markets,168204845056.0,20.356989,13.942261,3.9014137,7.031681,,4.65,0.189,0.411,0.18101999,0.01824,0.97407997,0.49683997,0.37005,115.32,0.63,1.35,0.919,0.0078,0.84893
CHTR,Communication Services,Telecom Services,26973786112.0,5.882629,4.5006714,1.6801943,0.49245602,,36.21,-0.023,0.024,0.28667998,0.054840002,0.55309,0.24741,0.09105,482.329,0.387,,1.023,0.2637,0.73247004
CVX,Energy,Oil & Gas Integrated,403329581056.0,30.381023,21.392954,2.142531,2.1842449,,6.64,-0.082,-0.238,0.07231,0.03794,0.41896,0.09462,0.06661,24.323,1.155,3.53,0.658,0.0109,0.67932
CMG,Consumer Cyclical,Restaurants,44124413952.0,29.271929,24.396126,15.377879,3.6999738,,1.14,0.049,0.04,0.47355,0.13878,0.40098998,0.15213001,0.12878,179.319,1.235,,1.019,0.0312,0.91121
CB,Financial Services,Insurance - Property & Casualty,125856694272.0,12.561525,11.060418,1.7105012,2.110804,,25.68,0.055,0.279,0.14337,0.031240001,0.29548,0.24243,0.17291,30.944,0.38,1.2,0.489,0.0106,0.84097
CHD,Consumer Defensive,Household & Personal Products,22737917952.0,31.354305,23.431042,5.5966663,3.6655142,,3.02,0.039,-0.208,0.1762,0.08202,0.45134997,0.18556,0.11878,59.517,1.066,1.3,0.426,0.0434,0.93698
CIEN,Technology,Communication Equipment,54306406400.0,244.51593,46.688828,19.446331,10.597842,,1.57,0.331,2.323,0.08201,0.04577,0.42125,0.13399,0.044699997,56.931,2.814,,1.09,0.0698,0.99358004
CI,Healthcare,Healthcare Plans,70211354624.0,11.850315,7.84994,1.6601295,0.2554069,,22.18,0.104,-0.093,0.1513,0.04087,0.092980005,0.0353,0.02167,75.137,0.849,2.37,0.234,0.026300002,0.9163
CINF,Financial Services,Insurance - Property & Casualty,24718012416.0,10.436758,17.21442,1.5473644,1.9569323,,15.18,0.218,0.673,0.16036,0.04892,0.25018,0.27596,0.18945,5.568,0.639,2.24,0.636,0.019,0.71128
CTAS,Industrials,Specialty Business Services,71741726720.0,38.73434,33.17609,16.095854,6.6458755,,4.63,0.093,0.11,0.43396,0.15904,0.50249,0.23417999,0.17584999,72.656,1.705,1.0,0.944,0.0274,0.67917
CSCO,Technology,Communication Equipment,306802491392.0,27.931656,17.195105,6.4253206,5.195287,,2.78,0.097,0.312,0.23754999,0.06994,0.64814,0.24868,0.18756,66.509,0.955,2.16,0.829,0.0150999995,0.82036
C,Financial Services,Banks - Diversified,191585419264.0,15.6680975,9.053731,0.99558204,2.530316,,6.99,0.044,-0.108,0.06831,0.00577,0.0,0.25656998,0.18893999,,,2.19,1.131,0.0164,0.81088996
CFG,Financial Services,Banks - Regional,24489304064.0,14.772021,9.059105,1.0111364,3.2058258,,3.86,0.107,0.348,0.07241,0.00825,0.0,0.32228002,0.23969,,,3.23,1.085,0.0433,0.9986
CLX,Consumer Defensive,Household & Personal Products,12948216832.0,17.37316,15.573879,-102.65957,1.9159836,,6.11,-0.008,-0.162,9.87179,0.11305001,0.44155,0.14047,0.111719996,9191.429,0.736,4.67,0.568,0.0719,0.84803003
CME,Financial Services,Financial Data & Stock Exchanges,110485356544.0,27.537636,24.17815,3.8399162,16.979982,,11.16,0.08,0.35,0.1475,0.01585,1.0,0.63808,0.62584,13.078,1.032,1.69,0.26,0.0138,0.92574996
CMS,Utilities,Utilities - Regulated Electric,22803843072.0,21.082153,17.819942,2.556422,2.670552,,3.53,0.123,0.066,0.108559996,0.031519998,0.41527,0.21675,0.12542,194.861,0.979,3.06,0.432,0.0573,0.98344004
KO,Consumer Defensive,Beverages - Non-Alcoholic,321735458816.0,24.588816,21.567146,9.995988,6.711071,,3.04,0.024,0.036,0.43323,0.09147,0.61626,0.24656999,0.2734,139.793,1.459,2.76,0.332,0.010199999,0.66722
CTSH,Technology,Information Technology Services,29957865472.0,13.611842,10.100188,1.9800937,1.4192659,,4.56,0.049,0.221,0.15158,0.102290004,0.33717,0.15995,0.10564999,7.819,2.137,2.13,0.983,0.086899996,1.04545
COIN,Financial Services,Financial Data & Stock Exchanges,53257375744.0,44.481983,33.137306,3.5758257,7.7370315,,4.44,-0.222,,0.10055,0.0355,0.85178,0.11299,0.1831,53.119,2.343,,3.709,0.1201,0.69011
CL,Consumer Defensive,Household & Personal Products,68227772416.0,32.365017,20.519299,1270.4478,3.3474524,,2.63,0.058,,4.9747,0.16362,0.60107,0.20382,0.1046,2343.562,0.833,2.49,0.264,0.0272,0.86329
CMCSA,Communication Services,Telecom Services,105745817600.0,5.3840446,7.287539,1.0793722,0.8548087,,5.39,0.012,-0.525,0.2141,0.04795,0.71747,0.107889995,0.16166,107.863,0.882,4.55,0.78,0.0217,0.88758004
FIX,Industrials,Engineering & Construction,47855222784.0,46.94637,30.627878,19.45803,5.257868,,28.9,0.417,1.295,0.49238998,0.14712,0.24125999,0.16113001,0.112349994,19.739,1.211,0.17,1.602,0.0252,0.97022
CAG,Consumer Defensive,Packaged Foods,7252081152.0,,8.477894,0.89635193,0.64551884,,-0.21,-0.068,,-0.0116,0.04404,0.24620001,0.11413,-0.008719999,94.229,0.891,9.23,-0.061,0.0862,0.87193
